Time	Value
1390401889708	73.4559221598
1390401889710	73.4559221598
1390401889719	84.3800457953
1390401889722	84.3800457953
1390401889724	84.3800457953
1390401889726	84.3800457953
1390401889729	84.3800457953
1390401889738	106.2067266195
1390401889739	106.2067266195
1390401889741	106.2067266195
1390401889744	106.2067266195
1390401889746	106.2067266195
1390401889749	106.2067266195
1390401889759	117.5568521242
1390401889762	117.5568521242
1390401889764	117.5568521242
1390401889766	117.5568521242
1390401889769	117.5568521242
1390401889779	108.154628932
1390401889782	108.154628932
1390401889784	108.154628932
1390401889786	108.154628932
1390401889788	108.154628932
1390401889800	90.1262035011
1390401889803	90.1262035011
1390401889805	90.1262035011
1390401889807	90.1262035011
1390401889810	90.1262035011
1390401889821	71.3840305391
1390401889822	71.3840305391
1390401889824	71.3840305391
1390401889826	71.3840305391
1390401889828	71.3840305391
1390401889831	71.3840305391
1390401889840	61.298802692
1390401889843	61.298802692
1390401889845	61.298802692
1390401889847	61.298802692
1390401889850	61.298802692
1390401889859	56.5274354978
1390401889860	56.5274354978
1390401889863	56.5274354978
1390401889865	56.5274354978
1390401889867	56.5274354978
1390401889869	56.5274354978
1390401889879	57.2460427112
1390401889880	57.2460427112
1390401889882	57.2460427112
1390401889885	57.2460427112
1390401889887	57.2460427112
1390401889889	57.2460427112
1390401889899	57.3582514054
1390401889900	57.3582514054
1390401889902	57.3582514054
1390401889904	57.3582514054
1390401889906	57.3582514054
1390401889909	57.3582514054
1390401889921	58.6524904347
1390401889924	58.6524904347
1390401889926	58.6524904347
1390401889928	58.6524904347
1390401889931	58.6524904347
1390401889942	63.5497079822
1390401889945	63.5497079822
1390401889947	63.5497079822
1390401889950	63.5497079822
1390401889952	63.5497079822
1390401889956	65.4063605326
1390401889959	65.4063605326
1390401889961	65.4063605326
1390401889963	65.4063605326
1390401889965	65.4063605326
1390401889968	65.4063605326
1390401889979	67.2314159232
1390401889980	67.2314159232
1390401889982	67.2314159232
1390401889984	67.2314159232
1390401889987	67.2314159232
1390401889989	67.2314159232
1390401890001	69.7448188006
1390401890002	69.7448188006
1390401890004	69.7448188006
1390401890006	69.7448188006
1390401890009	69.7448188006
1390401890012	69.7448188006
1390401890021	78.4999049711
1390401890022	78.4999049711
1390401890024	78.4999049711
1390401890026	78.4999049711
1390401890035	78.4999049711
1390401890039	78.4999049711
1390401890039	92.8284623972
1390401890043	92.8284623972
1390401890044	92.8284623972
1390401890060	114.2272782004
1390401890062	114.2272782004
1390401890080	148.5832973267
1390401890081	148.5832973267
1390401890082	148.5832973267
1390401890083	148.5832973267
1390401890084	148.5832973267
1390401890102	176.218187572
1390401890103	176.218187572
1390401890104	176.218187572
1390401890105	176.218187572
1390401890121	184.1080972566
1390401890122	184.1080972566
1390401890123	184.1080972566
1390401890124	184.1080972566
1390401890142	205.1792778759
1390401890143	205.1792778759
1390401890144	205.1792778759
1390401890145	205.1792778759
1390401890161	226.0947167887
1390401890162	226.0947167887
1390401890163	226.0947167887
1390401890164	226.0947167887
1390401890165	226.0947167887
1390401890183	214.2955628405
1390401890184	214.2955628405
1390401890185	214.2955628405
1390401890186	214.2955628405
1390401890201	170.314555693
1390401890202	170.314555693
1390401890203	170.314555693
1390401890204	170.314555693
1390401890219	119.9388478822
1390401890220	119.9388478822
1390401890221	119.9388478822
1390401890222	119.9388478822
1390401890223	119.9388478822
1390401890239	95.6316509745
1390401890240	95.6316509745
1390401890241	95.6316509745
1390401890242	95.6316509745
1390401890243	95.6316509745
1390401890263	91.9046700723
1390401890264	91.9046700723
1390401890265	91.9046700723
1390401890266	91.9046700723
1390401890267	91.9046700723
1390401890281	100.2008178192
1390401890283	100.2008178192
1390401890285	100.2008178192
1390401890287	100.2008178192
1390401890288	100.2008178192
1390401890298	109.3140174835
1390401890299	109.3140174835
1390401890300	109.3140174835
1390401890301	109.3140174835
1390401890303	109.3140174835
1390401890304	109.3140174835
1390401890324	115.9790237839
1390401890325	115.9790237839
1390401890326	115.9790237839
1390401890329	115.9790237839
1390401890330	115.9790237839
1390401890332	115.9790237839
1390401890341	114.3038026127
1390401890342	114.3038026127
1390401890343	114.3038026127
1390401890345	114.3038026127
1390401890346	114.3038026127
1390401890348	114.3038026127
1390401890362	105.057925954
1390401890363	105.057925954
1390401890365	105.057925954
1390401890366	105.057925954
1390401890368	105.057925954
1390401890369	105.057925954
1390401890381	92.133470749
1390401890383	92.133470749
1390401890385	92.133470749
1390401890386	92.133470749
1390401890388	92.133470749
1390401890401	88.3238633364
1390401890402	88.3238633364
1390401890404	88.3238633364
1390401890406	88.3238633364
1390401890407	88.3238633364
1390401890409	88.3238633364
1390401890419	87.3846925269
1390401890420	87.3846925269
1390401890422	87.3846925269
1390401890423	87.3846925269
1390401890425	87.3846925269
1390401890426	87.3846925269
1390401890441	87.9906261298
1390401890442	87.9906261298
1390401890444	87.9906261298
1390401890446	87.9906261298
1390401890447	87.9906261298
1390401890449	87.9906261298
1390401890459	88.893198879
1390401890460	88.893198879
1390401890462	88.893198879
1390401890463	88.893198879
1390401890465	88.893198879
1390401890466	88.893198879
1390401890483	88.6189333177
1390401890484	88.6189333177
1390401890486	88.6189333177
1390401890489	88.6189333177
1390401890492	88.6189333177
1390401890496	88.6189333177
1390401890504	83.3985182117
1390401890505	83.3985182117
1390401890507	83.3985182117
1390401890510	83.3985182117
1390401890512	83.3985182117
1390401890514	83.3985182117
1390401890525	78.8536254424
1390401890526	78.8536254424
1390401890529	78.8536254424
1390401890532	78.8536254424
1390401890534	78.8536254424
1390401890536	78.8536254424
1390401890541	76.9939490478
1390401890543	76.9939490478
1390401890545	76.9939490478
1390401890547	76.9939490478
1390401890550	76.9939490478
1390401890552	76.9939490478
1390401890562	75.2021372742
1390401890565	75.2021372742
1390401890567	75.2021372742
1390401890569	75.2021372742
1390401890572	75.2021372742
1390401890583	74.2337060901
1390401890584	74.2337060901
1390401890586	74.2337060901
1390401890589	74.2337060901
1390401890591	74.2337060901
1390401890594	74.2337060901
1390401890603	75.576538309
1390401890606	75.576538309
1390401890608	75.576538309
1390401890610	75.576538309
1390401890613	75.576538309
1390401890623	83.9807425397
1390401890626	83.9807425397
1390401890628	83.9807425397
1390401890630	83.9807425397
1390401890632	83.9807425397
1390401890644	102.1636926862
1390401890645	102.1636926862
1390401890647	102.1636926862
1390401890650	102.1636926862
1390401890652	102.1636926862
1390401890655	102.1636926862
1390401890665	117.0430714558
1390401890666	117.0430714558
1390401890668	117.0430714558
1390401890670	117.0430714558
1390401890672	117.0430714558
1390401890675	117.0430714558
1390401890685	126.7507058918
1390401890686	126.7507058918
1390401890688	126.7507058918
1390401890690	126.7507058918
1390401890692	126.7507058918
1390401890695	126.7507058918
1390401890705	120.1471328954
1390401890706	120.1471328954
1390401890709	120.1471328954
1390401890711	120.1471328954
1390401890714	120.1471328954
1390401890716	120.1471328954
1390401890725	108.4990385841
1390401890726	108.4990385841
1390401890728	108.4990385841
1390401890731	108.4990385841
1390401890733	108.4990385841
1390401890735	108.4990385841
1390401890746	133.8503538757
1390401890747	133.8503538757
1390401890749	133.8503538757
1390401890752	133.8503538757
1390401890754	133.8503538757
1390401890756	133.8503538757
1390401890766	156.6866221572
1390401890767	156.6866221572
1390401890769	156.6866221572
1390401890771	156.6866221572
1390401890774	156.6866221572
1390401890776	156.6866221572
1390401890786	187.0260427776
1390401890787	187.0260427776
1390401890789	187.0260427776
1390401890791	187.0260427776
1390401890793	187.0260427776
1390401890796	187.0260427776
1390401890806	220.4848962757
1390401890807	220.4848962757
1390401890810	220.4848962757
1390401890812	220.4848962757
1390401890814	220.4848962757
1390401890817	220.4848962757
1390401890822	203.5967789437
1390401890825	203.5967789437
1390401890827	203.5967789437
1390401890829	203.5967789437
1390401890831	203.5967789437
1390401890834	203.5967789437
1390401890843	184.8009283519
1390401890844	184.8009283519
1390401890846	184.8009283519
1390401890849	184.8009283519
1390401890851	184.8009283519
1390401890853	184.8009283519
1390401890865	157.5506561114
1390401890866	157.5506561114
1390401890869	157.5506561114
1390401890871	157.5506561114
1390401890873	157.5506561114
1390401890875	157.5506561114
1390401890887	135.0253112367
1390401890888	135.0253112367
1390401890890	135.0253112367
1390401890893	135.0253112367
1390401890895	135.0253112367
1390401890898	135.0253112367
1390401890907	117.1306642159
1390401890907	117.1306642159
1390401890910	117.1306642159
1390401890912	117.1306642159
1390401890914	117.1306642159
1390401890916	117.1306642159
1390401890929	109.4227579753
1390401890932	109.4227579753
1390401890934	109.4227579753
1390401890936	109.4227579753
1390401890939	109.4227579753
1390401890948	96.6028070035
1390401890951	96.6028070035
1390401890953	96.6028070035
1390401890955	96.6028070035
1390401890957	96.6028070035
1390401890967	86.0588343269
1390401890968	86.0588343269
1390401890971	86.0588343269
1390401890973	86.0588343269
1390401890975	86.0588343269
1390401890978	86.0588343269
1390401890987	77.0218087169
1390401890988	77.0218087169
1390401890990	77.0218087169
1390401890992	77.0218087169
1390401890995	77.0218087169
1390401890997	77.0218087169
1390401891007	68.9610870662
1390401891008	68.9610870662
1390401891010	68.9610870662
1390401891012	68.9610870662
1390401891015	68.9610870662
1390401891017	68.9610870662
1390401891024	63.8760775044
1390401891026	63.8760775044
1390401891029	63.8760775044
1390401891031	63.8760775044
1390401891033	63.8760775044
1390401891035	63.8760775044
1390401891047	60.4823156479
1390401891048	60.4823156479
1390401891050	60.4823156479
1390401891052	60.4823156479
1390401891054	60.4823156479
1390401891057	60.4823156479
1390401891070	59.1007745764
1390401891073	59.1007745764
1390401891075	59.1007745764
1390401891077	59.1007745764
1390401891080	59.1007745764
1390401891089	63.5153735555
1390401891092	63.5153735555
1390401891094	63.5153735555
1390401891096	63.5153735555
1390401891098	63.5153735555
1390401891108	70.6393968067
1390401891109	70.6393968067
1390401891111	70.6393968067
1390401891113	70.6393968067
1390401891116	70.6393968067
1390401891119	70.6393968067
1390401891130	81.6152696139
1390401891131	81.6152696139
1390401891133	81.6152696139
1390401891135	81.6152696139
1390401891137	81.6152696139
1390401891140	81.6152696139
1390401891149	90.2153100721
1390401891152	90.2153100721
1390401891154	90.2153100721
1390401891156	90.2153100721
1390401891159	90.2153100721
1390401891169	95.5395620386
1390401891170	95.5395620386
1390401891172	95.5395620386
1390401891174	95.5395620386
1390401891177	95.5395620386
1390401891179	95.5395620386
1390401891189	98.6178090773
1390401891192	98.6178090773
1390401891194	98.6178090773
1390401891196	98.6178090773
1390401891198	98.6178090773
1390401891209	106.0936034932
1390401891212	106.0936034932
1390401891214	106.0936034932
1390401891216	106.0936034932
1390401891220	106.0936034932
1390401891225	130.7926440029
1390401891228	130.7926440029
1390401891230	130.7926440029
1390401891232	130.7926440029
1390401891235	130.7926440029
1390401891237	130.7926440029
1390401891248	145.0795165314
1390401891249	145.0795165314
1390401891251	145.0795165314
1390401891254	145.0795165314
1390401891256	145.0795165314
1390401891259	145.0795165314
1390401891273	145.0075689289
1390401891276	145.0075689289
1390401891278	145.0075689289
1390401891280	145.0075689289
1390401891282	145.0075689289
1390401891286	139.3947044495
1390401891289	139.3947044495
1390401891291	139.3947044495
1390401891293	139.3947044495
1390401891295	139.3947044495
1390401891298	139.3947044495
1390401891308	151.8192953817
1390401891309	151.8192953817
1390401891311	151.8192953817
1390401891313	151.8192953817
1390401891316	151.8192953817
1390401891322	151.8192953817
1390401891327	148.1923458553
1390401891328	148.1923458553
1390401891329	148.1923458553
1390401891330	148.1923458553
1390401891347	118.6222874983
1390401891348	118.6222874983
1390401891349	118.6222874983
1390401891350	118.6222874983
1390401891371	91.133786879
1390401891372	91.133786879
1390401891373	91.133786879
1390401891374	91.133786879
1390401891391	69.9353480092
1390401891392	69.9353480092
1390401891393	69.9353480092
1390401891394	69.9353480092
1390401891411	57.9314995813
1390401891412	57.9314995813
1390401891413	57.9314995813
1390401891414	57.9314995813
1390401891428	66.3633065424
1390401891429	66.3633065424
1390401891430	66.3633065424
1390401891431	66.3633065424
1390401891449	85.2477358798
1390401891450	85.2477358798
1390401891451	85.2477358798
1390401891452	85.2477358798
1390401891453	85.2477358798
1390401891471	105.1242712433
1390401891472	105.1242712433
1390401891473	105.1242712433
1390401891474	105.1242712433
1390401891475	105.1242712433
1390401891490	107.7349032867
1390401891491	107.7349032867
1390401891492	107.7349032867
1390401891493	107.7349032867
1390401891494	107.7349032867
1390401891512	107.4561377722
1390401891513	107.4561377722
1390401891514	107.4561377722
1390401891515	107.4561377722
1390401891531	114.0142928842
1390401891532	114.0142928842
1390401891533	114.0142928842
1390401891548	121.7985698967
1390401891550	114.0142928842
1390401891551	121.7985698967
1390401891553	114.0142928842
1390401891554	121.7985698967
1390401891556	121.7985698967
1390401891564	121.7985698967
1390401891568	130.8921754486
